id,lang,style,mood,pop,year,generation,author,song,date,website,url,version,processed,_author,_song,_retired,tested,proposed_tona,transposed_tona,listened_tona,chords_simplified,score,notes
288,,,,,,,joe dassin,siffler sur la colline,,,https://www.boiteachansons.net/partitions/joe-dassin/siffler-sur-la-colline,,0,joe dassin,siffler sur la colline,,,,,,,,
289,,,,,,,red hot chili peppers,snow (hey oh),,,https://www.boiteachansons.net/partitions/red-hot-chili-peppers/snow-(hey-oh),,0,red hot chili peppers,snow (hey oh),,,,,,,,
290,,,,,,,adele,someone like you,,,https://www.boiteachansons.net/partitions/adele/someone-like-you,,0,adele,someone like you,,,,,,,,
291,,,,,,,ben l oncle soul,soulman,,,https://www.boiteachansons.net/partitions/ben-l-oncle-soul/soulman,,0,ben l oncle soul,soulman,,,,,,,,
292,,,,,,,patrice,soulstorm,,,https://www.boiteachansons.net/partitions/patrice/soulstorm,,0,patrice,soulstorm,,,,,,,,
293,,,,,,,garou,sous le vent,,,,,0,,,,,,,,,,
294,,,,,,,ben e king,stand by me,,,https://www.boiteachansons.net/partitions/ben-e-king/stand-by-me,,0,ben e king,stand by me,,,,,,,,
295,,,,,,,,Staying Alive,,,,,0,,,,,,,,,,
296,,,,,,,boney m,sunny,,,https://www.boiteachansons.net/partitions/boney-m/sunny,,0,boney m,sunny,,,,,,,,
297,,,,,,,destiny child,survivor,,,,,0,,,,,,,,,,
298,,,,,,,eurythmics,sweet dreams (are made of this),,,https://www.boiteachansons.net/partitions/eurythmics/sweet-dreams-(are-made-of-this),,0,eurythmics,sweet dreams (are made of this),,,,,,,,
299,,,,,,,pink martini,sympathique,,,https://www.boiteachansons.net/partitions/pink-martini/sympathique,,0,pink martini,sympathique,,,,,,,,
300,,,,,,,keen v,tahiti,,,https://www.boiteachansons.net/partitions/keen-v/tahiti,,0,keen v,tahiti,,,,,,,,
301,,,,,,,a ha,take on me,,,https://www.boiteachansons.net/partitions/a-ha/take-on-me,,0,a ha,take on me,,,,,,,,
302,,,,,,,tracy chapman,talkin bout a revolution,,,https://www.boiteachansons.net/partitions/tracy-chapman/talkin-bout-a-revolution,,0,tracy chapman,talkin bout a revolution,,,,,,,,
303,,,,,,,Roff ,tdsi,,,,,0,,,,,,,,,,
304,,,,,,,Womack,Teardrop,,,,,0,,,,,,,,,,
305,,,,,,,,The rythm of the night ,,,,,0,,,,,,,,,,
306,,,,,,,simon garfunkel,the sound of silence,,,https://www.boiteachansons.net/partitions/simon-garfunkel/the-sound-of-silence,,0,simon garfunkel,the sound of silence,,,,,,,,
307,,,,,,,amy macdonald,this is the life,,,https://www.boiteachansons.net/partitions/amy-macdonald/this-is-the-life,,0,amy macdonald,this is the life,,,,,,,,
308,,,,,,,macklemore,Thrift Shop,,,,,0,,,,,,,,,,
